"","probes"
"30858","cg26723132"
"30859","cg07977490"
"30860","cg07464859"
"30861","cg16762408"
"30862","cg05771157"
"30863","cg08320359"
"30864","cg27437413"
"30865","cg01426968"
"30866","cg06613738"
"30867","cg10064060"
"30868","cg02229757"
"30869","cg00240860"
"30870","cg02665786"
"30871","cg04465078"
"30872","cg02396982"
"30873","cg09553232"
"30874","cg26515755"
"30875","cg08891096"
"30876","cg16733756"
"30877","cg09109383"
"30878","cg00649632"
"30879","cg06503456"
"30880","cg01332683"
"30881","cg08613794"
"30882","cg01060282"
"30883","cg08181850"
"30884","cg26543732"
"30885","cg26903216"
"30886","cg27565277"
"30887","cg16546017"
"30888","cg26706077"
"30889","cg07531182"
"30890","cg05216219"
"30891","cg09548718"
"30892","cg05634915"
"30893","cg10276400"
"30894","cg05057352"
"30895","cg04113258"
"30896","cg07612768"
"30897","cg04986899"
"30898","cg01724917"
"30899","cg21608192"
"30900","cg00840341"
"30901","cg04664169"
"30902","cg27319227"
"30903","cg06798887"
"30904","cg04749323"
"30905","cg03625515"
"30906","cg01938514"
"30907","cg08632420"
"30908","cg06777352"
"30909","cg05371749"
"30910","cg10087036"
"30911","cg07654864"
"30912","cg05070626"
"30913","cg27040709"
"30914","cg07604732"
"30915","cg23444894"
"30916","cg09882901"
"30917","cg07245542"
"30918","cg03088525"
"30919","cg04669677"
"30920","cg05951521"
"30921","cg05335886"
"30922","cg08051231"
"30923","cg05160554"
"30924","cg27333283"
"30925","cg16616769"
"30926","cg21615663"
"30927","cg07736657"
"30928","cg00232483"
"30929","cg08494871"
"30930","cg06088324"
"30931","cg20312475"
"30932","cg08623215"
"30933","cg10638734"
"30934","cg26672573"
"30935","cg02646706"
"30936","cg09132909"
"30937","cg04719215"
"30938","cg01944044"
"30939","cg08280383"
"30940","cg06929595"
"30941","cg09256941"
"30942","cg05242592"
"30943","cg05589564"
"30944","cg19238840"
"30945","cg00382053"
"30946","cg03140788"
"30947","cg21996068"
"30948","cg00376654"
"30949","cg00095099"
"30950","cg04695882"
"30951","cg06478823"
"30952","cg10078415"
"30953","cg00394823"
"30954","cg27367721"
"30955","cg02330352"
"30956","cg02005231"
"30957","cg27045835"
"30958","cg01298102"
"30959","cg06819923"
"30960","cg06490869"
"30961","cg03888553"
"30962","cg26675753"
"30963","cg08964929"
"30964","cg05933815"
"30965","cg05418150"
"30966","cg08262496"
"30967","cg02843201"
"30968","cg13928411"
"30969","cg05051606"
"30970","cg26700407"
"30971","cg27500027"
"30972","cg23603493"
"30973","cg09425333"
"30974","cg16542646"
"30975","cg08139238"
"30976","cg03794213"
"30977","cg09591886"
"30978","cg06470626"
"30979","cg10111816"
"30980","cg06315598"
"30981","cg02067239"
"30982","cg06098291"
"30983","cg03757784"
"30984","cg19064258"
"30985","cg08214995"
"30986","cg04687409"
"30987","cg03532483"
"30988","cg04718102"
"30989","cg16508627"
"30990","cg05764691"
"30991","cg07846885"
"30992","cg00538458"
"30993","cg22968966"
"30994","cg02837876"
"30995","cg07213414"
"30996","cg09796602"
"30997","cg04195543"
"30998","cg20377627"
"30999","cg06768088"
"31000","cg06178383"
"31001","cg00452252"
"31002","cg00925717"
"31003","cg26424556"
"31004","cg03983589"
"31005","cg05537253"
"31006","cg04190119"
"31007","cg08969855"
"31008","cg00736406"
"31009","cg06184926"
"31010","cg04666465"
"31011","cg01522095"
"31012","cg03187795"
"31013","ch.16.725323R"
"31014","cg02778609"
"31015","cg05131483"
"31016","cg01460202"
"31017","cg09867953"
"31018","cg05532980"
"31019","cg05789711"
"31020","cg17696377"
"31021","cg00584422"
"31022","cg03596167"
"31023","cg03645571"
"31024","cg00098750"
"31025","cg21745164"
"31026","cg02299940"
"31027","cg09065113"
"31028","cg24250393"
"31029","cg04279973"
"31030","cg05436658"
"31031","cg07959068"
"31032","cg04086239"
"31033","cg03973705"
"31034","cg05944877"
"31035","cg04721098"
"31036","cg16678467"
"31037","cg07514158"
"31038","cg04543289"
"31039","cg07873449"
"31040","cg01879506"
"31041","cg01560476"
"31042","cg09018299"
"31043","cg01436550"
"31044","cg06505273"
"31045","cg01109535"
"31046","cg04399565"
"31047","cg05583636"
"31048","cg08067346"
"31049","cg11171778"
"31050","cg27485411"
"31051","cg19306640"
"31052","cg01456609"
"31053","cg01353586"
"31054","cg27312986"
"31055","cg02390209"
"31056","cg05037662"
"31057","cg23235241"
"31058","cg03376794"
"31059","cg01421548"
"31060","cg09250965"
"31061","cg02594607"
"31062","cg07807497"
"31063","cg06288900"
"31064","cg26725397"
"31065","cg03884018"
"31066","cg16355550"
"31067","cg26874872"
"31068","cg03827327"
"31069","cg16702467"
"31070","cg01489419"
"31071","cg03612582"
"31072","cg16345311"
"31073","cg02333298"
"31074","cg08119007"
"31075","cg02871891"
"31076","cg02411582"
"31077","cg04045544"
"31078","cg08008352"
"31079","cg16649560"
"31080","cg26727816"
"31081","cg04059988"
"31082","cg19423311"
"31083","cg10416668"
"31084","cg02983090"
"31085","cg08282819"
"31086","cg10454258"
"31087","cg27027151"
"31088","cg03598457"
"31089","cg26620747"
"31090","cg00671823"
"31091","cg16792230"
"31092","cg01057287"
"31093","cg27076552"
"31094","cg26558591"
"31095","cg02805028"
"31096","cg01469715"
"31097","cg26596350"
"31098","cg03921753"
"31099","cg07376134"
"31100","cg23178192"
"31101","cg08310088"
"31102","cg00848245"
"31103","cg01161644"
"31104","cg06897606"
"31105","cg09046979"
"31106","cg08604596"
"31107","cg08726667"
"31108","cg07298257"
"31109","cg01378222"
"31110","cg18530748"
"31111","cg20877811"
"31112","cg00000292"
"31113","cg18595800"
"31114","cg01826211"
"31115","cg08213689"
"31116","cg07597976"
"31117","cg06323049"
"31118","cg27565966"
"31119","cg05433111"
"31120","cg01758575"
"31121","cg00607627"
"31122","cg07041323"
"31123","cg23797100"
"31124","cg00525931"
"31125","cg07856138"
"31126","cg26751195"
"31127","cg09946623"
"31128","cg03549705"
"31129","cg10126903"
"31130","cg03997039"
"31131","cg09638208"
"31132","cg03750478"
"31133","cg03696684"
"31134","cg16711124"
"31135","cg27295595"
"31136","cg06664465"
"31137","cg11255039"
"31138","cg16518772"
"31139","cg12521167"
"31140","cg01383799"
"31141","cg08218971"
"31142","cg27405086"
"31143","cg02130107"
"31144","cg15777760"
"31145","cg06646276"
"31146","cg01827781"
"31147","cg24235633"
"31148","cg05377576"
"31149","cg23357257"
"31150","cg10532489"
"31151","cg07300846"
"31152","cg03696974"
"31153","cg02176915"
"31154","cg13552869"
"31155","cg06015834"
"31156","cg17428423"
"31157","cg03920233"
"31158","cg07303450"
"31159","cg04105683"
"31160","cg06985993"
"31161","cg13271951"
"31162","cg02507810"
"31163","cg16152813"
"31164","cg03303433"
"31165","cg04329347"
"31166","cg00300822"
"31167","cg04306817"
"31168","cg26519342"
"31169","cg00123512"
"31170","cg26709300"
"31171","cg16348385"
"31172","cg27106909"
"31173","cg08047629"
"31174","cg03691812"
"31175","cg06030619"
"31176","cg05839201"
"31177","cg08160619"
"31178","cg02485922"
"31179","cg16014085"
"31180","cg26624796"
"31181","cg02719359"
"31182","cg02017323"
"31183","cg07862608"
"31184","cg08525712"
"31185","cg04908960"
"31186","cg05047095"
"31187","cg04502490"
"31188","cg10533060"
"31189","cg01371233"
"31190","cg26697065"
"31191","cg24033122"
"31192","cg16519923"
"31193","cg08420239"
"31194","cg00463011"
"31195","cg19622714"
"31196","cg09645925"
"31197","cg03309050"
"31198","cg02854067"
"31199","cg06131802"
"31200","cg00431324"
"31201","cg06940688"
"31202","cg00687444"
"31203","cg02603876"
"31204","cg10236224"
"31205","cg06624368"
"31206","cg22311615"
"31207","cg09248197"
"31208","cg08592890"
"31209","cg17800442"
"31210","cg19364688"
"31211","cg07385501"
"31212","cg10436257"
"31213","cg05958702"
"31214","cg25033993"
"31215","cg09905605"
"31216","cg26456435"
"31217","cg09860092"
"31218","cg20527168"
"31219","cg01016533"
"31220","cg08549216"
"31221","cg04275947"
"31222","cg08648499"
"31223","cg14301190"
"31224","cg27156466"
"31225","cg15247144"
"31226","cg05361373"
"31227","cg16413327"
"31228","cg26188726"
"31229","cg21006836"
"31230","cg09493833"
"31231","cg09921810"
"31232","cg13352836"
"31233","cg04784212"
"31234","cg13974531"
"31235","cg02865033"
"31236","cg00348389"
"31237","cg10085057"
"31238","cg00027729"
"31239","cg08050115"
"31240","cg09743950"
"31241","cg05625471"
"31242","cg15817542"
"31243","cg09716762"
"31244","cg27518238"
"31245","cg00444059"
"31246","cg13726463"
"31247","cg24110063"
"31248","cg07053699"
"31249","cg01741924"
"31250","cg09148608"
"31251","cg08587321"
"31252","cg03100639"
"31253","cg10206344"
"31254","cg10995380"
"31255","cg23910243"
"31256","cg01171858"
"31257","cg13473336"
"31258","cg02242894"
"31259","cg02262187"
"31260","cg00016841"
"31261","cg00029825"
"31262","cg10041830"
"31263","cg08624915"
"31264","cg00148355"
"31265","cg02989940"
"31266","cg10091996"
"31267","cg12777862"
"31268","cg03090448"
"31269","cg01027010"
"31270","cg06301178"
"31271","cg16739679"
"31272","cg07463519"
"31273","cg06832745"
"31274","cg26613361"
"31275","cg16639172"
"31276","cg27118035"
"31277","cg09090733"
"31278","cg08214455"
"31279","cg06745229"
"31280","cg14125292"
"31281","cg06918443"
"31282","cg07425171"
"31283","cg10115075"
"31284","cg07194830"
"31285","cg04540406"
"31286","cg00652908"
"31287","cg02608963"
"31288","cg18587271"
"31289","cg01016962"
"31290","cg06459662"
"31291","cg04106092"
"31292","cg08248319"
"31293","cg01463644"
"31294","cg09648454"
"31295","cg07861968"
"31296","cg02591442"
"31297","cg12940073"
"31298","cg26627760"
"31299","cg27124218"
"31300","cg09827812"
"31301","cg08446111"
"31302","cg26951614"
"31303","cg03658003"
"31304","cg08088511"
"31305","cg16699818"
"31306","cg01014262"
"31307","cg01701649"
"31308","cg06378100"
"31309","cg26770907"
"31310","cg27270968"
"31311","cg08670181"
"31312","cg01994994"
"31313","cg04789818"
"31314","cg09435411"
"31315","cg06223172"
"31316","cg08645400"
"31317","cg16449262"
"31318","cg08552198"
"31319","cg00838898"
"31320","cg10425754"
"31321","cg09869647"
"31322","cg01456151"
"31323","cg00011740"
"31324","cg17683110"
"31325","cg04438525"
"31326","cg02911875"
"31327","cg04534926"
"31328","cg00420859"
"31329","cg04399289"
"31330","cg09079580"
"31331","cg13897627"
"31332","cg24217877"
"31333","cg07804582"
"31334","cg03478444"
"31335","cg14933439"
"31336","cg26495526"
"31337","cg02392915"
"31338","cg05769308"
"31339","cg05389686"
"31340","cg03076945"
"31341","cg03421236"
"31342","cg04338735"
"31343","cg10529845"
"31344","cg08064228"
"31345","cg26581292"
"31346","cg00160027"
"31347","cg10030162"
"31348","cg16681157"
"31349","cg26507629"
"31350","cg26984682"
"31351","cg14994452"
"31352","cg07089942"
"31353","cg09119757"
"31354","cg09405758"
"31355","cg05877397"
"31356","cg07258541"
"31357","cg16728225"
"31358","cg07633317"
"31359","cg04511619"
"31360","cg16581224"
"31361","cg00316485"
"31362","cg26900686"
"31363","cg16383503"
"31364","cg26915318"
"31365","cg04165933"
"31366","cg02335656"
"31367","cg08549806"
"31368","cg06683316"
"31369","cg26747290"
"31370","cg02729344"
"31371","cg10967191"
"31372","cg00976157"
"31373","cg25071520"
"31374","cg06819935"
"31375","cg09621708"
"31376","cg01323274"
"31377","cg04661592"
"31378","cg08350047"
"31379","cg08560952"
"31380","cg06861037"
"31381","cg26706803"
"31382","cg16548911"
"31383","cg01187464"
"31384","cg05922453"
"31385","cg02144242"
"31386","cg04231340"
"31387","cg02631199"
"31388","cg06803821"
"31389","cg00083833"
"31390","cg26746669"
"31391","cg09229492"
"31392","cg03699843"
"31393","cg27400165"
"31394","cg06344952"
"31395","cg09341491"
"31396","cg27081230"
"31397","cg01902066"
"31398","cg26954174"
"31399","cg01243823"
"31400","cg01055281"
"31401","cg07369399"
"31402","cg07811262"
"31403","cg08394412"
"31404","cg05766489"
"31405","cg09920228"
"31406","cg04600253"
"31407","cg08785784"
"31408","cg10458473"
"31409","cg08633959"
"31410","cg10293282"
"31411","cg08195632"
"31412","cg06939852"
"31413","cg04429994"
"31414","cg07260541"
"31415","cg10264687"
"31416","cg04102325"
"31417","cg02455820"
"31418","cg14510333"
"31419","cg14585371"
"31420","cg00087963"
"31421","cg01679108"
"31422","cg06497955"
"31423","cg16746369"
"31424","ch.16.49831971R"
"31425","cg26843750"
"31426","cg07711387"
"31427","cg02518245"
"31428","ch.16.50203954R"
"31429","cg10063805"
"31430","cg05010882"
"31431","cg03699663"
"31432","cg01200905"
"31433","cg01942543"
"31434","cg02709321"
"31435","cg26648818"
"31436","cg01404163"
"31437","cg02793451"
"31438","cg08448725"
"31439","cg10160276"
"31440","cg03535934"
"31441","cg04031656"
"31442","cg09608652"
"31443","cg09147843"
"31444","cg05414254"
"31445","cg07300349"
"31446","cg26651810"
"31447","cg02992067"
"31448","cg06392242"
"31449","cg02111433"
"31450","cg04036070"
"31451","cg27401543"
"31452","cg05967340"
"31453","cg26681628"
"31454","cg27057022"
"31455","cg27520536"
"31456","cg10418162"
"31457","cg17536114"
"31458","cg01885503"
"31459","cg00221382"
"31460","cg00220294"
"31461","cg16085531"
"31462","cg02931762"
"31463","cg09480047"
"31464","cg08825645"
"31465","cg05071046"
"31466","cg03467555"
"31467","cg02469838"
"31468","cg00253379"
"31469","cg07584669"
"31470","cg26586719"
"31471","cg16501625"
"31472","cg27054162"
"31473","cg08320225"
"31474","cg08202972"
"31475","cg12599700"
"31476","cg16376108"
"31477","cg10824810"
"31478","cg01961105"
"31479","cg06993307"
"31480","cg27327911"
"31481","cg03782157"
"31482","cg04786287"
"31483","cg12492345"
"31484","cg04153740"
"31485","cg26470798"
"31486","cg26053832"
"31487","cg03426023"
"31488","cg15916160"
"31489","cg13744172"
"31490","cg10214640"
"31491","cg16742090"
"31492","cg04887321"
"31493","cg11181171"
"31494","cg09947736"
"31495","cg06847237"
"31496","cg05242190"
"31497","cg00356208"
"31498","cg02968537"
"31499","cg09294739"
"31500","cg08295543"
"31501","cg04853843"
"31502","cg01549404"
"31503","cg24049616"
"31504","cg00510598"
"31505","cg07592723"
"31506","cg00094898"
"31507","cg09772792"
"31508","cg07667917"
"31509","cg07006398"
"31510","cg08318842"
"31511","cg12317456"
"31512","cg27642062"
"31513","cg14400118"
"31514","cg22950163"
"31515","cg27279620"
"31516","cg00078334"
"31517","cg07582157"
"31518","cg00120147"
"31519","cg04811706"
"31520","cg27047406"
"31521","cg10362591"
"31522","cg03226000"
"31523","cg04490714"
"31524","cg05067406"
"31525","cg02935718"
"31526","cg04450501"
"31527","cg07039362"
"31528","cg23092086"
"31529","cg03284670"
"31530","cg00693157"
"31531","cg04156464"
"31532","cg21530453"
"31533","cg02954212"
"31534","cg09659734"
"31535","cg00348762"
"31536","cg07636145"
"31537","cg03399271"
"31538","cg27369423"
"31539","cg04037585"
"31540","cg07790747"
"31541","cg10139742"
"31542","cg02691360"
"31543","cg01019246"
"31544","cg05053220"
"31545","cg22244418"
"31546","cg00863378"
"31547","cg00324725"
"31548","cg04853906"
"31549","cg10443421"
"31550","cg06846010"
"31551","cg00178359"
"31552","cg06463589"
"31553","cg05743734"
"31554","cg20083730"
"31555","cg04793813"
"31556","cg27391470"
"31557","cg10638827"
"31558","cg02160530"
"31559","cg02898915"
"31560","cg27383124"
"31561","cg03655527"
"31562","cg09145546"
"31563","cg05486035"
"31564","cg05554151"
"31565","cg07602841"
"31566","cg05958050"
"31567","cg17545418"
"31568","cg04924185"
"31569","cg03551406"
"31570","ch.16.55305377R"
"31571","cg16440299"
"31572","cg01883757"
"31573","cg17759354"
"31574","cg26973177"
"31575","cg04303879"
"31576","cg01191774"
"31577","cg03455024"
"31578","cg17808849"
"31579","cg27501612"
"31580","cg04170948"
"31581","cg02751803"
"31582","cg04232615"
"31583","cg04784327"
"31584","cg04338890"
"31585","cg17625032"
"31586","cg09624807"
"31587","cg00624410"
"31588","cg06496222"
"31589","cg09976876"
"31590","cg00513952"
"31591","cg06830319"
"31592","cg02699703"
"31593","cg05481929"
"31594","cg00348900"
"31595","cg09234161"
"31596","cg04276536"
"31597","cg09671611"
"31598","cg07895124"
"31599","cg05686118"
"31600","cg10206380"
"31601","cg09109520"
"31602","cg06133771"
"31603","cg16429725"
"31604","cg07479337"
"31605","cg27561818"
"31606","cg06326971"
"31607","cg07026490"
"31608","cg04285141"
"31609","cg27206026"
"31610","cg08687941"
"31611","cg02276600"
"31612","cg08099570"
"31613","cg27622625"
"31614","cg12499872"
"31615","cg08514765"
"31616","cg16652241"
"31617","cg20751926"
"31618","cg26919014"
"31619","cg04623270"
"31620","cg02990302"
"31621","cg08210637"
"31622","cg09408116"
"31623","cg27404181"
"31624","cg07147285"
"31625","cg02010772"
"31626","cg08638917"
"31627","cg08397459"
"31628","cg05425326"
"31629","cg04190807"
"31630","cg00687686"
"31631","cg04942472"
"31632","cg16812519"
"31633","cg27113419"
"31634","cg11640773"
"31635","cg27102864"
"31636","cg01084435"
"31637","cg10389114"
"31638","cg04229059"
"31639","cg13883681"
"31640","cg04674428"
"31641","cg10154971"
"31642","cg06003388"
"31643","cg09815642"
"31644","cg03155159"
"31645","cg00978051"
"31646","cg08177968"
"31647","cg06612122"
"31648","cg04946709"
"31649","cg02947418"
"31650","cg13027458"
"31651","cg02782052"
"31652","cg02391410"
"31653","cg07570113"
"31654","cg02139586"
"31655","cg07486821"
"31656","cg16712481"
"31657","cg10447095"
"31658","cg27233675"
"31659","cg00009553"
"31660","cg06395425"
"31661","cg03815683"
"31662","cg07655182"
"31663","cg09354518"
"31664","cg09679746"
"31665","cg05538950"
"31666","cg08269733"
"31667","cg07874983"
"31668","cg03671700"
"31669","cg00950846"
"31670","cg02172312"
"31671","cg11323198"
"31672","cg27444994"
"31673","cg01007828"
"31674","cg04337176"
"31675","cg01834225"
"31676","cg00313099"
"31677","cg05411829"
"31678","cg07160783"
"31679","cg05390712"
"31680","cg02611989"
"31681","cg08110076"
"31682","cg04036430"
"31683","cg00769251"
"31684","cg04868376"
"31685","cg07951949"
"31686","cg02157637"
"31687","cg26963892"
"31688","cg00094303"
"31689","cg09108073"
"31690","cg09631415"
"31691","cg04755848"
"31692","cg02352722"
"31693","cg04536893"
"31694","cg02741158"
"31695","cg12163490"
"31696","cg26624576"
"31697","cg10065825"
"31698","cg25244722"
"31699","cg26945823"
"31700","cg09399224"
"31701","cg08060578"
"31702","cg09847250"
"31703","cg01130056"
"31704","cg09272993"
"31705","cg01113412"
"31706","cg27662750"
"31707","cg02322365"
"31708","cg03000116"
"31709","cg02944238"
"31710","cg00620976"
"31711","cg08797704"
"31712","cg03880673"
"31713","cg00132716"
"31714","cg00643293"
"31715","cg01329445"
"31716","cg03396249"
"31717","cg03515735"
"31718","cg00096418"
"31719","cg05122803"
"31720","cg03995968"
"31721","cg01630588"
"31722","cg26620314"
"31723","cg00484206"
"31724","cg07277923"
"31725","cg05548402"
"31726","cg09284102"
"31727","cg06489289"
"31728","cg03261268"
"31729","cg08098420"
"31730","cg06287303"
"31731","cg05594356"
"31732","cg04270013"
"31733","cg26946015"
"31734","cg02301292"
"31735","cg07044938"
"31736","cg04173154"
"31737","cg08237521"
"31738","cg05410910"
"31739","cg09723511"
"31740","cg16609297"
"31741","cg05670898"
"31742","cg08827358"
"31743","cg12277495"
"31744","cg08288561"
"31745","cg27485402"
"31746","cg06256596"
"31747","cg02934719"
"31748","cg01758899"
"31749","cg09839874"
"31750","cg07849409"
"31751","cg02213341"
"31752","cg02420395"
"31753","cg07497911"
"31754","cg10373196"
"31755","cg05440435"
"31756","cg16303453"
"31757","cg27195914"
"31758","cg02445958"
"31759","cg01324802"
"31760","cg14792480"
"31761","cg15482422"
"31762","cg00037186"
"31763","cg05544396"
"31764","cg01266287"
"31765","cg01721410"
"31766","cg09203199"
"31767","cg10185775"
"31768","cg07284994"
"31769","cg07323447"
"31770","cg07112260"
"31771","cg08713858"
"31772","cg07323145"
"31773","cg02251014"
"31774","cg06766367"
"31775","cg06287405"
"31776","cg07352600"
"31777","cg05333146"
"31778","cg26522057"
"31779","cg06212637"
"31780","cg20984188"
"31781","cg02771381"
"31782","cg02724047"
"31783","cg04240553"
"31784","cg01604539"
"31785","cg05976840"
"31786","cg01629940"
"31787","cg03456938"
"31788","cg18705279"
"31789","cg09030672"
"31790","cg23414876"
"31791","cg03811260"
"31792","cg06621126"
"31793","cg03887094"
"31794","cg03845837"
"31795","cg01397449"
"31796","cg09663494"
"31797","cg04802221"
"31798","cg21142272"
"31799","cg04505809"
"31800","cg06494642"
"31801","cg05277329"
"31802","cg08715862"
"31803","cg26719831"
"31804","cg08025511"
"31805","cg23357854"
"31806","cg08638180"
"31807","cg06349754"
"31808","cg01378158"
"31809","cg05762671"
"31810","cg26897283"
"31811","cg13067215"
"31812","cg18107072"
"31813","cg10298187"
"31814","cg01755541"
"31815","cg05413199"
"31816","cg03034540"
"31817","cg27130954"
"31818","cg08789908"
"31819","cg01443318"
"31820","cg02734600"
"31821","cg04750517"
"31822","cg02600514"
"31823","cg02089487"
"31824","cg26954464"
"31825","cg00771593"
"31826","cg05883442"
"31827","cg09262011"
"31828","cg10189135"
"31829","cg04176254"
"31830","cg09179347"
"31831","cg09906145"
"31832","cg04925864"
"31833","cg08310837"
"31834","cg15833579"
"31835","cg26295435"
"31836","cg07125278"
"31837","cg06138825"
"31838","cg05764001"
"31839","cg03546673"
"31840","cg01287707"
"31841","cg16794070"
"31842","cg15426734"
"31843","cg06637893"
"31844","cg00545966"
"31845","cg26449586"
"31846","cg00318322"
"31847","cg16677647"
"31848","cg08082862"
"31849","cg02846801"
"31850","cg04657461"
"31851","cg00496272"
"31852","cg01083131"
"31853","cg09869811"
"31854","cg03294833"
"31855","cg00511334"
"31856","cg02215611"
"31857","cg03052099"
"31858","cg26675485"
"31859","cg04539111"
"31860","cg00420526"
"31861","cg08877617"
"31862","cg03061352"
"31863","cg23656386"
"31864","cg10130900"
"31865","cg08571821"
"31866","cg19899008"
"31867","cg06266861"
"31868","cg08281590"
"31869","cg05226168"
"31870","cg18711066"
"31871","cg22190721"
"31872","cg22676843"
"31873","cg04023204"
"31874","cg07273125"
"31875","cg03873826"
"31876","cg15201635"
"31877","cg19297232"
"31878","cg09954348"
"31879","cg03178042"
"31880","cg11625868"
"31881","cg07061260"
"31882","cg27417609"
"31883","cg19034028"
"31884","cg05650674"
"31885","cg04904099"
"31886","cg17733331"
"31887","cg17208427"
"31888","cg10377726"
"31889","cg01142596"
"31890","cg01306747"
"31891","cg17655614"
"31892","cg11667754"
"31893","cg24765079"
"31894","cg08616585"
"31895","cg16470877"
"31896","cg05238606"
"31897","cg01032851"
"31898","cg04427990"
"31899","cg06267075"
"31900","cg06285909"
"31901","cg27322863"
"31902","cg26874999"
"31903","cg02524010"
"31904","cg00451194"
"31905","cg16524960"
"31906","cg27620681"
"31907","cg07795548"
"31908","cg04406620"
"31909","cg27093918"
"31910","cg05336982"
"31911","cg27105218"
"31912","cg00963786"
"31913","cg26832686"
"31914","cg01578632"
"31915","cg16516248"
"31916","cg00005112"
"31917","cg26821137"
"31918","cg08479294"
"31919","cg09102714"
"31920","cg05523882"
"31921","cg05246530"
"31922","cg09426937"
"31923","cg03209684"
"31924","cg02544257"
"31925","cg12347740"
"31926","cg26831220"
"31927","cg04164048"
"31928","cg16031065"
"31929","cg07838048"
"31930","cg01356044"
"31931","cg08843902"
"31932","cg02447095"
"31933","cg01778908"
"31934","cg05704955"
"31935","cg07671622"
"31936","cg00259097"
"31937","cg03753454"
"31938","cg01350996"
"31939","cg10216848"
"31940","cg06357685"
"31941","cg00944001"
"31942","cg07950469"
"31943","cg00032959"
"31944","cg04628802"
"31945","cg12654412"
"31946","cg19767959"
"31947","cg01476003"
"31948","cg00731458"
"31949","cg17463287"
"31950","cg05535113"
"31951","cg04076817"
"31952","cg08769634"
"31953","cg05708656"
"31954","cg08045301"
"31955","cg16367606"
"31956","cg22337624"
"31957","cg01060938"
"31958","cg01147079"
"31959","ch.16.1630026F"
"31960","cg10472320"
"31961","cg09223396"
"31962","cg07213145"
"31963","cg04211829"
"31964","cg04052706"
"31965","cg26644885"
"31966","cg04667640"
"31967","cg08692430"
"31968","cg10298059"
"31969","cg07051796"
"31970","cg06185532"
"31971","cg10298741"
"31972","cg10415570"
"31973","cg27364780"
"31974","cg10483525"
"31975","cg04910662"
"31976","cg09754243"
"31977","cg02973693"
"31978","cg15334372"
"31979","cg00808086"
"31980","cg01744822"
"31981","cg15712310"
"31982","cg01635555"
"31983","cg26888463"
"31984","cg09057763"
"31985","cg00250409"
"31986","cg05391884"
"31987","cg02524112"
"31988","cg00050482"
"31989","cg03643345"
"31990","cg06684296"
"31991","cg16523740"
"31992","cg08259838"
"31993","cg26651339"
"31994","cg10382620"
"31995","cg26963320"
"31996","cg05793579"
"31997","cg27619343"
"31998","cg01107240"
"31999","cg26889879"
"32000","cg02556005"
"32001","cg04171526"
"32002","cg02046187"
"32003","cg02451516"
"32004","cg04447128"
"32005","cg04539283"
"32006","cg14400871"
"32007","cg00528616"
"32008","cg00433709"
"32009","cg03991512"
"32010","cg16540789"
"32011","cg05453885"
"32012","cg26802786"
"32013","cg07520163"
"32014","cg08467866"
"32015","cg02775230"
"32016","cg05200250"
"32017","cg02184918"
"32018","cg02490847"
"32019","cg03451204"
"32020","cg04339240"
"32021","cg00908828"
"32022","cg08284564"
"32023","cg04384234"
"32024","cg02883503"
"32025","cg03315344"
"32026","cg05917111"
"32027","cg07841232"
"32028","cg06325515"
"32029","cg09142647"
"32030","cg16520796"
"32031","cg03620964"
"32032","cg26676091"
"32033","cg26733669"
"32034","cg01151029"
"32035","cg09094037"
"32036","cg09966303"
"32037","cg06793062"
"32038","cg03878722"
"32039","cg03738936"
"32040","cg02084561"
"32041","cg11488401"
"32042","cg02186542"
"32043","cg20807545"
"32044","cg03739573"
"32045","cg05462446"
"32046","cg08026818"
"32047","cg04260557"
"32048","cg16587832"
"32049","cg01169873"
"32050","cg09635036"
"32051","cg26956007"
"32052","cg16651895"
"32053","cg05375713"
"32054","cg06848199"
"32055","cg08236479"
"32056","cg00088916"
"32057","cg01357234"
"32058","cg07747924"
"32059","cg07493562"
"32060","cg00879840"
"32061","cg00469083"
"32062","cg01630032"
"32063","cg02236679"
"32064","cg02588098"
"32065","cg08122051"
"32066","cg09452312"
"32067","cg09038266"
"32068","cg08091526"
"32069","cg01365766"
"32070","cg00931972"
"32071","cg10221896"
"32072","cg26810767"
"32073","cg27027055"
"32074","cg02794184"
"32075","cg06980204"
"32076","cg00364304"
"32077","cg07516445"
"32078","cg05000331"
"32079","cg08305942"
"32080","cg04205616"
"32081","cg05405572"
"32082","cg03498081"
"32083","cg07719096"
"32084","cg07125967"
"32085","cg03666439"
"32086","cg08453928"
"32087","cg26792288"
"32088","cg10112854"
"32089","ch.16.79494380F"
"32090","cg11762513"
"32091","cg27189341"
"32092","cg16651780"
"32093","cg06002197"
"32094","cg08384322"
"32095","cg16809762"
"32096","cg04448709"
"32097","cg07806552"
"32098","cg07877629"
"32099","cg11419186"
"32100","cg02956355"
"32101","cg08344351"
"32102","cg05499338"
"32103","cg02573873"
"32104","cg10511467"
"32105","cg01799671"
"32106","cg02547035"
"32107","cg07977661"
"32108","cg01797704"
"32109","cg08071700"
"32110","cg03133097"
"32111","cg08808812"
"32112","cg05887079"
"32113","cg09862425"
"32114","cg16672223"
"32115","cg27241576"
"32116","cg04759112"
"32117","cg07285481"
"32118","cg03122201"
"32119","cg09963814"
"32120","cg06460189"
"32121","cg05534464"
"32122","cg26433445"
"32123","cg27009556"
"32124","cg00471368"
"32125","cg16534399"
"32126","cg07128660"
"32127","cg06341397"
